time,Eb,Er,DeltaE,Cusum,IB100,GEI
2022-12-09T14:00:00Z,10310.04532,11466.68078,1156.635454,1156.635454,89.91307531,440.6781079
2022-12-10T14:00:00Z,10308.00295,11360.64483,1052.641878,2209.277332,90.73431224,401.0565555
2022-12-11T14:00:00Z,10309.88158,11285.34518,975.4636037,3184.740936,91.35636892,371.651633
2022-12-12T14:00:00Z,10309.84396,11285.4945,975.6505439,4160.391479,91.35482682,371.7228572
2022-12-13T14:00:00Z,10309.31005,11290.67502,981.3649686,5141.756448,91.3081816,373.900053
2022-12-14T14:00:00Z,10309.60012,11286.8092,977.2090779,6118.965526,91.34202536,372.3166587
2022-12-15T14:00:00Z,10308.89663,11274.70559,965.8089661,7084.774492,91.43384314,367.9732161
2022-12-16T14:00:00Z,10310.82604,11271.36019,960.5341513,8045.308643,91.47809905,365.9635116
2022-12-17T14:00:00Z,10308.99919,11268.02958,959.0303903,9004.339034,91.48892552,365.3905787
2022-12-18T14:00:00Z,10310.50488,11396.7804,1086.27552,10090.61455,90.46857549,413.8709731
2022-12-19T14:00:00Z,10311.57586,11396.7804,1085.204538,11175.81909,90.47797273,413.462929
2022-12-20T14:00:00Z,10311.19095,11268.64539,957.4544437,12133.27354,91.50337587,364.7901431
2022-12-21T14:00:00Z,10312.03186,11271.18403,959.1521715,13092.42571,91.49022703,365.4369774
2022-12-22T14:00:00Z,10309.55943,11273.43611,963.8766809,14056.30239,91.45001869,367.2370154
2022-12-23T14:00:00Z,10310.05859,11269.25533,959.1967405,15015.49913,91.48837512,365.4539581
2022-12-24T14:00:00Z,10309.74605,11272.84128,963.0952342,15978.59436,91.45649965,366.9392842
2022-12-25T14:00:00Z,10307.94088,11186.20739,878.2665158,16856.86088,92.1486659,334.6195425
2022-12-26T14:00:00Z,10309.16204,11256.38252,947.2204729,17804.08135,91.58503656,360.8910002
2022-12-27T14:00:00Z,10310.51181,11715.06049,1404.548684,19208.63003,88.01074323,535.1330486
2022-12-28T14:00:00Z,10309.70476,11255.85082,946.1460582,20154.77609,91.59418445,360.4816482
2022-12-29T14:00:00Z,10312.2056,11256.60791,944.402307,21099.1784,91.61024072,359.817279
2022-12-30T14:00:00Z,10308.80822,11267.07306,958.2648386,22057.44324,91.49499756,365.0989035
2022-12-31T14:00:00Z,10309.20046,11273.25017,964.049716,23021.49295,91.44834275,367.3029418
2023-01-01T14:00:00Z,10313.36321,11261.1462,947.7829966,23969.27595,91.583601,361.1053217
2023-01-02T14:00:00Z,10309.79614,11278.75696,968.9608178,24938.23677,91.40897511,369.1740716
2023-01-03T14:00:00Z,10310.70595,11261.02272,950.3167694,25888.55354,91.56100833,362.0706892
2023-01-04T14:00:00Z,10310.61319,11250.92957,940.3163854,26828.86992,91.64232271,358.2605428
2023-01-05T14:00:00Z,10309.73179,11262.69692,952.9651297,27781.83505,91.53874834,363.0797144
